"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0064","0","1"
"3","02-001-0200","0","1"
"4","03-002-0488","1","1"
"5","03-003-0219","1","1"
"6","03-003-0292","1","1"
"7","03-003-0407","0","1"
"8","04-003-0866","0","1"
"9","04-003-1199","2","0"
"10","04-003-1244","3","1"
"11","04-003-1529","0","1"
"12","04-003-1658","0","1"
"13","05-003-1797","0","1"
"14","05-003-1828","0","1"
"15","05-003-2071","0","1"
"16","05-003-2635","1","0"
"17","05-003-3233","1","1"
"18","05-003-4470","1","1"
"19","05-005-2853","0","1"
"20","05-005-2855","0","1"
"21","05-005-2856","0","1"
"22","05-005-2858","0","1"
"23","05-005-3324","1","0"
"24","05-005-3325","1","0"
"25","05-005-3346","0","1"
"26","05-005-3348","3","0"
"27","05-005-3388","0","1"
"28","05-005-3389","0","1"
"29","05-005-3390","0","1"
"30","05-006-2843","0","1"
"31","05-006-2844","1","0"
"32","05-006-2850","0","1"
"33","05-006-2852","2","1"
"34","05-006-2860","0","1"
"35","05-006-2868","0","1"
"36","05-006-3355","0","1"
"37","05-006-3358","0","1"
"38","05-006-3359","4","1"
"39","05-006-3375","0","1"
"40","05-007-0001","0","1"
"41","05-007-0002","1","1"
"42","05-007-0006","1","0"
"43","05-007-0010","0","1"
"44","05-007-0018","0","1"
"45","05-008-0002","0","1"
"46","05-008-0005","0","1"
"47","05-008-0006","1","0"
"48","05-008-0010","0","1"
"49","05-008-0011","1","1"
"50","05-008-0013","1","1"
"51","05-008-0015","1","1"
"52","05-009-0001","0","1"
"53","05-009-0005","1","0"
"54","05-009-0006","0","1"
"55","05-009-0007","1","1"
"56","05-009-0009","0","1"
"57","05-009-0011","0","1"
"58","05-009-0012","1","1"
"59","05-009-0013","1","1"
"60","05-009-0014","1","1"
"61","05-009-0017","0","1"
"62","05-009-0018","0","1"
"63","05-009-0019","0","1"
"64","05-009-0021","0","1"
"65","06-003-0645","4","1"
"66","06-003-0695","1","0"
"67","06-003-0950","1","1"
"68","06-003-1711","1","0"
"69","06-003-2649","0","1"
"70","06-005-0004","3","0"
"71","06-005-0006","0","1"
"72","06-006-0003","0","1"
"73","06-007-0001","1","0"
"74","06-007-0003","0","1"
"75","06-008-0003","1","1"
"76","06-008-0004","1","1"
"77","06-008-0005","1","0"
"78","06-008-0006","2","1"
"79","06-008-0007","0","1"
"80","06-008-0011","0","1"
"81","06-008-0013","0","1"
"82","06-008-0015","0","1"
"83","07-003-0243","0","1"
"84","07-005-0001","1","0"
"85","07-006-0001","0","1"
"86","07-006-0003","1","1"
"87","07-006-0004","0","1"
"88","07-006-0005","0","1"
"89","07-006-0006","1","1"
"90","07-006-0007","0","1"
"91","07-007-0004","0","1"
"92","07-007-0005","1","0"
"93","07-008-0001","0","1"
"94","07-008-0003","0","1"
"95","07-008-0005","1","0"
"96","07-008-0006","0","1"
"97","07-008-0009","1","0"
"98","07-008-0012","1","0"
"99","07-008-0014","1","1"
"100","07-008-0015","0","1"
"101","07-009-0001","0","1"
"102","07-009-0003","0","1"
"103","07-010-0002","0","1"
"104","07-010-0003","1","1"
"105","07-010-0004","1","0"
"106","07-010-0008","0","1"
"107","07-010-0009","0","1"
"108","07-010-0011","0","1"
"109","07-010-0012","0","1"
"110","07-010-0016","0","1"
"111","07-010-0018","0","1"
